method,split,independent_units,scenarios_per_unit,success_rate_mean,success_rate_95ci,path_cost_gap_mean,path_cost_gap_95ci,compute_time_ms_mean,compute_time_ms_95ci,decision_latency_ms_mean,decision_latency_ms_95ci,steps_mean,steps_95ci,replans_mean,replans_95ci,node_expansions_mean,node_expansions_95ci
rl_dynamic_from_scratch,no_fly_penalty,5,10,0.9,0.2776445105197793,1.9670057685088815,2.4634033905745096,12.174685351143125,24.893506361907594,0.39699154991346275,0.09532659625337321,29.98,60.81843404165523,nan,nan,nan,nan
rl_dynamic_from_scratch,obstacle_density_10,5,10,0.92,0.22211560841582345,1.1298484809835008,0.6513800504673657,8.160919902256865,13.78632299404594,0.3692375974607523,0.04746804827784644,21.72,36.496516119100185,nan,nan,nan,nan
rl_dynamic_from_scratch,obstacle_density_40,5,10,0.64,0.2420448727169067,1.5868825974895742,0.46982495800239915,32.99169030579651,21.439791588804614,0.3726955129035998,0.04739081865662693,88.52,51.6010669995817,nan,nan,nan,nan
rl_dynamic_from_scratch,scale_100,5,10,0.0,0.0,nan,nan,458.8789423616254,204.05549532714488,0.5561735255310414,0.06130971911777667,1208.82,554.1238392053333,nan,nan,nan,nan
rl_dynamic_from_scratch,scale_15,5,10,0.88,0.3331734126237352,1.3228131265463174,0.3096569960294643,13.788249099903624,28.84177470458756,0.369940886868182,0.038699209773426585,35.04,71.60476148836788,nan,nan,nan,nan
rl_dynamic_from_scratch,scale_30,5,10,0.52,0.3331734126237351,3.3407122164222214,2.367360732718799,106.07365602839855,122.3969485419382,0.38307962066932844,0.01647182635579344,282.6,328.7007434102554,nan,nan,nan,nan
rl_dynamic_from_scratch,scale_50,5,10,0.04,0.06800873806582557,2.485281374238575,0.0,496.015301386331,207.88580844487365,0.412673735667523,0.03369754115550405,1306.64,552.8818982835687,nan,nan,nan,nan
rl_dynamic_from_scratch,seen_layout_unseen_pairs,5,30,0.92,0.1997840417032124,1.1312934903211298,0.4273121208150073,8.198209698227098,11.625477078610272,0.40565524643088924,0.0789202274014328,21.266666666666666,31.668504434355903,nan,nan,nan,nan
rl_dynamic_from_scratch,sensor_noise_p05,5,10,1.0,0.0,4.317300141024109,9.782568097060274,4.578281115638674,3.373517058021111,0.36211449445557836,0.019989880324359683,12.78,9.801047851465363,nan,nan,nan,nan
rl_dynamic_from_scratch,sensor_noise_p10,5,10,0.96,0.11105780420791173,2.401564209736039,3.439551963523093,3.9418430841105874,1.876013662721731,0.37014553554792823,0.04277779381919618,10.74,5.664628474979897,nan,nan,nan,nan
rl_dynamic_from_scratch,stochastic_obstacles_p05,5,10,0.92,0.22211560841582345,2.028819621433162,3.8807083537223153,9.393745020279312,17.112355317581546,0.42453693306744594,0.103965867874968,25.42,50.30918530618402,nan,nan,nan,nan
rl_dynamic_from_scratch,stochastic_obstacles_p20,5,10,0.9,0.2776445105197793,2.030782104868019,4.07825675215862,12.222071443487948,23.77120792291653,0.4430049685378004,0.062433919733725425,30.56,62.77545452781917,nan,nan,nan,nan
rl_dynamic_from_scratch,unseen_layout_same_density,5,30,0.8666666666666667,0.18509634034651956,0.9636828571184819,0.14756181172292054,13.804830568680094,14.368186704483803,0.4083699847527869,0.07240556788852753,35.94,36.11245016916672,nan,nan,nan,nan
rl_dynamic_from_scratch,wind_energy_penalty_0_25,5,10,0.92,0.22211560841582345,0.826582489435278,0.4077389514334622,9.453233610562165,16.52575347276216,0.39301024890872654,0.0768064393429888,25.9,48.032500319921816,nan,nan,nan,nan
rl_dynamic_from_scratch,wind_energy_penalty_1_0,5,10,0.94,0.1665867063118676,1.5548983683567785,0.9518753949513348,9.089072534137813,15.886270808094677,0.45316534945145676,0.09026988316954936,20.64,36.48248868229901,nan,nan,nan,nan
rl_full,changed_toggle_periods,5,30,0.9866666666666667,0.0370192680693039,0.8766088743381056,0.34614518371621844,4.864302801336938,3.2810470738884567,0.4587584819323679,0.05874183686556591,11.013333333333334,8.065699135123905,nan,nan,nan,nan
rl_full,denser_unseen_layout,5,30,0.72,0.08582564226430259,0.9155816941280094,0.3815864237208282,26.31687376845669,6.950728420410635,0.40585362281894893,0.015321016830619854,67.82,14.726784103615103,nan,nan,nan,nan
rl_full,moving_obstacles_period_2,5,10,1.0,0.0,1.3169552621700493,0.3304361435523589,5.824404326027434,0.9274880886894188,0.5693357535936361,0.09356725710684095,10.14,0.14157147769822748,nan,nan,nan,nan
rl_full,moving_obstacles_period_4,5,10,1.0,0.0,0.7398989873223338,0.4097173570614561,4.023857746105932,0.8546013043974044,0.4800951234052065,0.10818719644458805,8.36,0.2574769267929076,nan,nan,nan,nan
rl_full,new_dynamic_obstacle_locations,5,30,0.98,0.05552890210395586,0.9256943468988982,0.17238403947258665,4.5855888580251,2.8582309223962654,0.47033179002307673,0.07837841708719653,10.28,8.065592941971348,nan,nan,nan,nan
rl_full,no_fly_hard,5,10,0.78,0.26918634023379007,1.5848087168578648,0.40040468396477574,16.545991949835297,14.763721784436395,0.4201812151496832,0.07967962768963602,43.08,40.459998146718085,nan,nan,nan,nan
rl_full,no_fly_penalty,5,10,0.92,0.16189317847087034,1.7517146479197865,0.5285941959294198,10.793085448032798,14.322875515654244,0.4568955195855158,0.09072995356609785,25.82,35.19349797007683,nan,nan,nan,nan
